Country,Sex,Year,Age-standardised diabetes prevalence,Age-standardised_Lower 95% uncertainty interval,Age-standardised_Upper 95% uncertainty interval,Crude diabetes prevalence,Crude_Lower 95% uncertainty interval,Crude_Upper 95% uncertainty interval,Number of adults with diabetes,Number_Lower 95% uncertainty interval,Number_Upper 95% uncertainty interval
Ireland,Men,1980,0.042534009,0.016084198,0.087003346,0.045717454,0.017847463,0.090756159,49623.43448,16892.00067,101423.0553
Ireland,Men,1981,0.043253062,0.017627972,0.084381917,0.046172057,0.019331914,0.088048629,50717.64945,18558.31478,99943.15076
Ireland,Men,1982,0.044051165,0.018985045,0.083145216,0.046742274,0.021017062,0.08637884,51889.10343,20393.24075,98894.02121
Ireland,Men,1983,0.044904108,0.020479905,0.082150395,0.047412246,0.022381644,0.085150734,53117.77854,22135.43567,97898.70849
Ireland,Men,1984,0.045816944,0.021876626,0.081327468,0.048197612,0.023605864,0.083722171,54419.25904,23918.2095,97813.72875
Ireland,Men,1985,0.04674981,0.023234573,0.080932699,0.049064566,0.025087694,0.083407508,55759.18069,25531.94878,98099.37086
Ireland,Men,1986,0.047689663,0.024788071,0.080560177,0.050010007,0.026500784,0.083001348,57127.7513,27149.10505,98509.73223
Ireland,Men,1987,0.048669069,0.02596871,0.08076051,0.051061961,0.027754058,0.08325661,58570.54083,28715.06866,98760.53014
Ireland,Men,1988,0.04967621,0.027178569,0.08081018,0.052182596,0.029091161,0.083434908,60094.1979,30365.81055,99879.63966
Ireland,Men,1989,0.050683665,0.028224926,0.08088632,0.053304301,0.030341965,0.083955155,61691.4017,31905.40204,101198.0208
Ireland,Men,1990,0.051698225,0.029379221,0.081741657,0.054403546,0.03147614,0.084787418,63392.92717,33441.7441,102729.142
Ireland,Men,1991,0.052714215,0.030455588,0.082557185,0.05546164,0.032497343,0.085682409,65208.74545,34964.84786,104646.1228
Ireland,Men,1992,0.053763924,0.031404376,0.083177106,0.056518407,0.03359501,0.0862182,67189.42095,36488.19391,106682.9967
Ireland,Men,1993,0.054818548,0.032291442,0.084031116,0.057556011,0.034345064,0.08707813,69309.76568,37981.81294,109222.6889
Ireland,Men,1994,0.055883995,0.033107403,0.084959545,0.058601975,0.035198266,0.088280059,71584.84378,39682.46899,112229.6223
Ireland,Men,1995,0.057041893,0.034172638,0.086163277,0.059755261,0.036157258,0.089448508,74126.22206,41514.88778,115486.3692
Ireland,Men,1996,0.058215893,0.035361676,0.087927054,0.060949179,0.037457293,0.091378688,76840.36059,43659.65165,118939.8461
Ireland,Men,1997,0.05944242,0.036584465,0.088728334,0.062218751,0.038745381,0.092479664,79789.31428,45839.54045,122771.6447
Ireland,Men,1998,0.060707277,0.037795537,0.090088052,0.063537195,0.039845605,0.093641968,82996.43891,48298.28531,127101.2332
Ireland,Men,1999,0.062062146,0.039089297,0.091091865,0.064939016,0.041295888,0.094995811,86588.51476,50992.9952,131622.2927
Ireland,Men,2000,0.063423948,0.040405553,0.092376237,0.066329112,0.04247831,0.096381806,90490.88344,54036.31915,136843.9765
Ireland,Men,2001,0.064768782,0.041754415,0.093403499,0.067674845,0.043789302,0.097360351,94707.19627,57173.1825,142235.9381
Ireland,Men,2002,0.066001141,0.043026145,0.094550165,0.06889643,0.045106606,0.098359009,99075.20269,60512.75164,147291.9776
Ireland,Men,2003,0.067084814,0.044172946,0.095402236,0.070004837,0.046328418,0.099358615,103432.9733,63949.76167,152607.3663
Ireland,Men,2004,0.068074974,0.045560743,0.096250861,0.071119705,0.04782212,0.100118253,107709.4274,67343.80574,157975.7384
Ireland,Men,2005,0.068931403,0.046127448,0.097012767,0.072242169,0.04861481,0.101395806,111724.8113,70222.95595,162779.9651
Ireland,Men,2006,0.069688361,0.046990103,0.097413513,0.073419768,0.049647695,0.102254776,115465.2728,72842.71967,167729.7905
Ireland,Men,2007,0.070318242,0.047095305,0.09823211,0.074610397,0.050200735,0.103816152,118903.7993,74957.64474,172388.1077
Ireland,Men,2008,0.070828469,0.046883441,0.099311227,0.07580545,0.050515547,0.105863062,122123.0198,76586.26309,177912.3462
Ireland,Men,2009,0.071179213,0.046533246,0.100332594,0.076932008,0.050725782,0.107914458,125171.7778,77547.00012,183345.6765
Ireland,Men,2010,0.07146961,0.045694093,0.102088404,0.078066107,0.050361591,0.110787778,128305.0814,77957.26727,189483.3418
Ireland,Men,2011,0.071829801,0.044661924,0.103958289,0.079340012,0.049748297,0.114055054,131774.5244,77896.09367,197579.5683
Ireland,Men,2012,0.072208428,0.043350461,0.10719099,0.080694833,0.049083481,0.118719558,135457.6231,77399.48847,207409.3704
Ireland,Men,2013,0.072623105,0.041743323,0.111498494,0.082124201,0.047902774,0.124420324,139347.3757,76186.72267,219656.2477
Ireland,Men,2014,0.073088405,0.039525938,0.115819256,0.083615961,0.046002679,0.131483712,143412.1922,74250.91802,233738.2272
Ireland,Women,1980,0.03334345,0.012677874,0.069785749,0.040203737,0.016486914,0.079183822,44247.80714,15351.28654,91060.36806
Ireland,Women,1981,0.033760323,0.013670819,0.068007743,0.040514545,0.017674,0.076931177,45212.61137,16709.61435,90565.91616
Ireland,Women,1982,0.03425267,0.014681387,0.06716213,0.040928747,0.01884467,0.075593913,46278.70775,18162.92006,90012.89746
Ireland,Women,1983,0.034783853,0.015715294,0.065660261,0.041412942,0.020113925,0.073936634,47398.55293,19590.89451,89484.75445
Ireland,Women,1984,0.03538522,0.016721889,0.064541706,0.042009391,0.021141998,0.073201046,48607.65448,21056.29464,89299.81237
Ireland,Women,1985,0.03601986,0.017688925,0.064136902,0.042682017,0.022297176,0.071677562,49858.36593,22475.01747,89330.17065
